starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 26 14:00:51 2017	1493233251	0	0	0	0
Wed Apr 26 14:00:51 2017	1493233251	0	0	0	0
Wed Apr 26 14:00:51 2017	1493233251	0	0	0	0
Wed Apr 26 14:00:51 2017	1493233251	0	0	0	0
Wed Apr 26 14:00:51 2017	1493233251	0	0	0	0
Wed Apr 26 14:00:51 2017	1493233251	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:04 2017	1493233264	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:01:04 2017	1493233264	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:04 2017	1493233264	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:04 2017	1493233264	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:05 2017	1493233265	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:04 2017	1493233264	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:01:02 2017	1493233262	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
Wed Apr 26 14:00:52 2017	1493233252	0	0	0	0
